a,b,h,P
45.66746311119485,29.196252729130478,40.32642576890726,1509.4930398097229
46.05656488330721,58.058174865448436,36.05648280640104,1877.0056618219637
56.678866084993444,11.714472922574103,4.597386710398098,157.21531391657143
62.03928963624801,21.619221229816205,47.639402944462454,1992.7207544410617
43.7635884517007,8.36593280902656,92.9674302384092,2423.1738155841654
91.37419932954747,97.99837865340776,17.57063529075414,1663.6982509042018
22.962481655964808,13.868797323564905,3.1167841189563603,57.39757270212471
20.883302142544366,54.313543136959744,22.727611547640905,854.5223445603121
88.2908318389756,36.647818888575145,85.80802454650441,5360.369404218408
6.477777212091198,48.337016146742904,58.948467940938166,1615.624044501191
73.80899440164193,23.350864746012547,54.8411171105617,2664.177606981099
43.725039062003795,98.13980975680084,38.854085789488174,2756.0145032593027
39.40252345048028,38.923534309399066,6.5689402270522095,257.2595958226432
32.499790388755144,64.40871784319518,56.7338365738652,2748.99573432427
30.934511603200775,94.03767830870228,33.9900951708789,2123.908314409369
33.60685090780221,79.17212645368974,87.23629653216952,4919.210155850973
68.7725932585058,63.99263367668036,43.550519728629915,2890.997317458426
56.57845016723029,2.1509900321366047,89.89756373594523,2639.8167967494846
79.32120114661137,84.03035772938537,35.342275778925554,2886.607921356436
74.92413134856157,53.83523348722568,75.80186639184133,4880.100084990349
84.26201121909355,89.0728610247338,35.023370642937934,3035.38573797093
86.31988781648724,80.5383461936747,63.49620810456455,5297.432575334687
18.721670245054426,90.38697369648693,17.043454157618413,929.794085608785
90.48625761849766,3.3305129636738258,53.60353103687754,2514.4550868405245
3.300652269156629,40.12029354524045,26.81290563956813,582.1208614511148
96.12040856682225,72.00211070493545,88.10054043989628,7405.842403979365
70.68212044530765,88.24595582352984,68.51966523999637,5444.849291588678
58.98796354304767,93.64939786147035,31.44526018236803,2399.8607714576046
43.90645603354906,73.7264403969949,48.19844270679673,2834.8612095210638
90.69988943491427,42.981296939938254,7.999676439954811,534.7031185540579
68.46167370731897,33.926372383595506,86.95201162196517,4451.4232868237505
29.083606792262017,71.34879679822708,81.86405516129543,4110.901913756642
41.93521945380177,98.00935292743814,17.934937107481048,1254.9485520954336
99.53514785693784,32.89616285717322,73.26921065397568,4851.568800947155
27.215791809863106,4.743334033373614,75.37343879152415,1204.4346077879102
42.96042389263415,41.38784880408794,43.34706132670354,1828.124874693163
77.91491836857878,5.677847859818485,55.734587516854894,2329.5041725663
16.205541425358348,30.751551743567077,70.55374186534176,1656.4993150935838
19.434015849454752,60.74593165614852,12.770783485994997,511.98037475625205
42.45398560904999,12.708199176369575,31.439372582301175,867.1322399612754
28.199826297855594,50.36888618925648,5.347720162400833,210.08174395060163
36.244970276265896,58.03835019274021,39.967071801335486,1884.1141194265451
98.09987336737598,70.14409314921961,34.64281978822419,2914.222706245223
71.28231688616603,38.81647252911469,57.55189860636915,3168.1971825561127
86.58806764197743,70.47004973035295,43.57347384057478,3421.7838843865807
41.50359663643085,43.1418003638917,35.333118834143775,1495.392935487837
35.4417762698328,57.289574892036576,11.241887010744762,521.2376860577153
63.61137486525824,56.84937239870295,11.699587853448463,704.6705477533828
20.186795084437506,30.315030229503733,90.07753815608218,2274.5400483341696
8.971221239277313,29.290111344637964,1.1141463497812083,21.314362018067005
85.20461783885862,14.05552032054679,83.9131994670389,4164.617886248013
39.05960313589943,87.7418216979053,16.047185297098792,1017.4029801221045
20.075423086223935,43.65902687715526,59.68885357462603,1902.1181257617352
93.15246744994133,30.9545514586882,55.09927441487118,3419.1033458290926
28.51649565243555,14.228149733065706,3.423371004714298,73.1653898097599
15.275469103131513,98.84030566568481,64.36217161664197,3672.369539918309
27.73093432001825,83.00866195111739,48.4173759857912,2680.860334587148
94.62053915441389,80.20034403525639,98.16634234839921,8580.76333442334
21.423927367615363,77.83145588202237,65.81018361100664,3266.007498019746
8.119951946906497,30.26297420957026,96.84794597640052,1858.6537794093158
83.69527850670664,38.47363825152341,42.85436972818741,2617.7359640246705
76.44861068392365,7.512814205445423,39.2173703593763,1646.3731478936709
46.97235250052913,41.59891234089747,27.71791907783981,1227.5055757482903
69.11744544751942,60.576114840606905,79.2254688514629,5137.516560421139
81.56689241784672,6.507133391590571,26.784471290120536,1179.5081078491041
51.44457794686086,77.485951830641,74.8187083047311,4823.20784949868
94.25511312793631,56.99275406974604,69.13220768258384,5228.049483329019
31.06199460726951,62.60256791004439,82.21923592159615,3850.5143815520614
